ProgramName,ProgramType,FundingType,LinkedID,SourceDB,SourceDBNM,payno,ContractNo,ContAmt,ContractorRequestedDate,ToAdvantageDate,entrydt,RequestedAmt,RequestedDate,ReceivedDate,ReviewCompletedDate,AcctReceivedDate,Status,ProcessDay
Gutter Assistance Program,Gutter Cleaning,CDBG_DEPT,114,3,Other_Dept,8,14044064,"80,000.00",5/26/2020,5/29/2020,5/26/2020,"3,200.00",5/26/2020,5/26/2020,5/28/2020,5/28/2020,Complete,3
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,115,3,Other_Dept,19,CT8006 RH2019*006,"250,000.00",2/24/2020,2/27/2020,2/24/2020,"28,500.00",2/24/2020,2/25/2020,2/25/2020,2/25/2020,Complete,3
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,115,3,Other_Dept,25,CT8006 RH2019*006,"250,000.00",9/1/2020,9/4/2020,9/1/2020,"19,620.00",9/1/2020,9/1/2020,9/2/2020,9/4/2020,Complete,3
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,115,3,Other_Dept,57,CT8006 RH2019*006,"250,000.00",9/7/2021,9/10/2021,9/7/2021,"11,985.00",9/7/2021,9/8/2021,9/8/2021,9/9/2021,Complete,3
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,115,3,Other_Dept,58,CT8006 RH2019*006,"250,000.00",9/7/2021,9/10/2021,9/7/2021,"18,120.00",9/7/2021,9/8/2021,9/8/2021,9/9/2021,Complete,3
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,115,3,Other_Dept,59,CT8006 RH2019*006,"250,000.00",9/7/2021,9/10/2021,9/7/2021,"10,635.00",9/7/2021,9/8/2021,9/8/2021,9/9/2021,Complete,3
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,LHRD,OLHCHH-Healthy Homes,116,3,Other_Dept,16,CT8006 RH2019*005,"75,000.00",2/24/2020,2/27/2020,2/24/2020,"3,250.00",2/24/2020,2/25/2020,2/25/2020,2/25/2020,Complete,3
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,LHRD,OLHCHH-Healthy Homes,116,3,Other_Dept,22,CT8006 RH2019*005,"75,000.00",9/1/2020,9/4/2020,9/1/2020,"1,770.00",9/1/2020,9/1/2020,9/2/2020,9/4/2020,Complete,3
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,LHRD,OLHCHH-Healthy Homes,116,3,Other_Dept,53,CT8006 RH2019*005,"60,000.00",9/7/2021,9/10/2021,9/7/2021,"3,500.00",9/7/2021,9/8/2021,9/8/2021,9/9/2021,Complete,3
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,LHRD,OLHCHH-Healthy Homes,116,3,Other_Dept,54,CT8006 RH2019*005,"60,000.00",9/7/2021,9/10/2021,9/7/2021,"2,300.00",9/7/2021,9/8/2021,9/8/2021,9/9/2021,Complete,3
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,LHRD,OLHCHH-Healthy Homes,116,3,Other_Dept,55,CT8006 RH2019*005,"60,000.00",9/7/2021,9/10/2021,9/7/2021,"1,660.00",9/7/2021,9/8/2021,9/8/2021,9/9/2021,Complete,3
LEAD HAZARD REDUCTION DEMONSTRATION,LHRD,OLHCHH-Lead,119,3,Other_Dept,27,CT8006 RH2019*004,"200,000.00",9/7/2021,9/10/2021,9/7/2021,"4,935.00",9/7/2021,9/8/2021,9/8/2021,9/9/2021,Complete,3
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,HH,OLHCHH-Healthy Homes,120,3,Other_Dept,22,CT8006 RH2019*003,"50,000.00",9/7/2021,9/10/2021,9/7/2021,"1,090.00",9/7/2021,9/8/2021,9/8/2021,9/9/2021,Complete,3
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,HH,OLHCHH-Healthy Homes,120,3,Other_Dept,23,CT8006 RH2019*003,"50,000.00",9/7/2021,9/10/2021,9/7/2021,677.00,9/7/2021,9/8/2021,9/8/2021,9/9/2021,Complete,3
LEAD HAZARD REDUCTION DEMONSTRATION,LHRD,OLHCHH-Lead,131,3,Other_Dept,15,CT8006 RH2019*014,"122,829.65",2/11/2020,2/14/2020,2/11/2020,"3,218.74",2/11/2020,2/12/2020,2/12/2020,2/13/2020,Complete,3
Furnace and Hot Water Tank Replacement,Furnace replacement,Program_Income,134,3,Other_Dept,5,RH2019-092,"270,000.00",2/11/2020,2/14/2020,2/11/2020,"37,383.00",2/11/2020,2/12/2020,2/12/2020,2/13/2020,Complete,3
RAH Ida Blanchard,RAH,HOME,136,3,Other_Dept,1,LA2019*026,"64,560.00",4/14/2020,4/17/2020,4/14/2020,"29,250.00",4/14/2020,4/14/2020,4/16/2020,4/17/2020,Complete,3
Furnace Repair,Furnace Repair,CDBG_DEPT,138,3,Other_Dept,6,RH2019*015,"41,000.00",5/26/2020,5/29/2020,5/26/2020,298.00,5/26/2020,5/26/2020,5/28/2020,5/29/2020,Complete,3
Lead Hazard Reduction Demonstration 2017,LHRD,OLHCHH-Lead,140,3,Other_Dept,2,PS2019*0290,"125,000.00",2/11/2020,2/14/2020,2/11/2020,"10,605.00",2/11/2020,2/12/2020,2/12/2020,2/13/2020,Complete,3
Lead Hazard Reduction Demonstration 2017,LHRD,OLHCHH-Lead,140,3,Other_Dept,3,PS2019*0290,"125,000.00",2/11/2020,2/14/2020,2/11/2020,"9,300.00",2/11/2020,2/12/2020,2/12/2020,2/13/2020,Complete,3
Hispanic Senior Center Elderly Services,Social Service,CDBG_DEPT,5379,1,CCR,4,SG2019-130,"19,650.00",3/2/2020,3/5/2020,3/3/2020,0.00,3/4/2020,3/4/2020,3/5/2020,3/5/2020,Complete,3
At-Risk Youth Program,Social Service,CDBG_DEPT,5381,1,CCR,4,SG2019-147,"14,000.00",3/2/2020,3/5/2020,3/3/2020,0.00,3/4/2020,3/4/2020,3/5/2020,3/5/2020,Complete,3
Child Care Services,Social Service,CDBG_DEPT,5690,1,CCR,2,SG2021-282,"5,000.00",11/16/2021,11/19/2021,11/16/2021,410.48,11/16/2021,11/17/2021,11/17/2021,11/17/2021,Complete,3
Child Care Services,Social Service,CDBG_DEPT,5690,1,CCR,3,SG2021-282,"5,000.00",11/16/2021,11/19/2021,11/16/2021,410.48,11/16/2021,11/17/2021,11/17/2021,11/17/2021,Complete,3
Emergency Food Program,Social Service,CDBG_DEPT,5723,1,CCR,4,SG2021-264,"40,000.00",11/15/2021,11/18/2021,11/16/2021,"3,069.84",11/16/2021,11/17/2021,11/17/2021,11/17/2021,Complete,3
LEAD HAZARD REDUCTION DEMONSTRATION,LHRD,OLHCHH-Lead,119,3,Other_Dept,32,CT8006 RH2019*004,"200,000.00",12/2/2021,12/6/2021,12/2/2021,"11,915.00",12/2/2021,12/3/2021,12/3/2021,12/3/2021,Complete,4
LEAD HAZARD REDUCTION DEMONSTRATION,LHRD,OLHCHH-Lead,119,3,Other_Dept,33,CT8006 RH2019*004,"200,000.00",12/2/2021,12/6/2021,12/2/2021,"7,580.00",12/2/2021,12/3/2021,12/3/2021,12/3/2021,Complete,4
LEAD HAZARD REDUCTION DEMONSTRATION,LHRD,OLHCHH-Lead,119,3,Other_Dept,34,CT8006 RH2019*004,"200,000.00",12/2/2021,12/6/2021,12/2/2021,"17,987.00",12/2/2021,12/3/2021,12/3/2021,12/3/2021,Complete,4
LEAD HAZARD REDUCTION DEMONSTRATION,LHRD,OLHCHH-Lead,119,3,Other_Dept,35,CT8006 RH2019*004,"200,000.00",12/2/2021,12/6/2021,12/2/2021,"14,169.00",12/2/2021,12/3/2021,12/3/2021,12/3/2021,Complete,4
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,HH,OLHCHH-Healthy Homes,120,3,Other_Dept,29,CT8006 RH2019*003,"50,000.00",12/2/2021,12/6/2021,12/2/2021,"4,445.00",12/2/2021,12/3/2021,12/3/2021,12/3/2021,Complete,4
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,HH,OLHCHH-Healthy Homes,120,3,Other_Dept,30,CT8006 RH2019*003,"50,000.00",12/2/2021,12/6/2021,12/2/2021,"3,905.00",12/2/2021,12/3/2021,12/3/2021,12/3/2021,Complete,4
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,HH,OLHCHH-Healthy Homes,120,3,Other_Dept,31,CT8006 RH2019*003,"50,000.00",12/2/2021,12/6/2021,12/2/2021,"3,494.00",12/2/2021,12/3/2021,12/3/2021,12/3/2021,Complete,4
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,HH,OLHCHH-Healthy Homes,120,3,Other_Dept,32,CT8006 RH2019*003,"50,000.00",12/2/2021,12/6/2021,12/2/2021,"2,105.00",12/2/2021,12/3/2021,12/3/2021,12/3/2021,Complete,4
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,128,3,Other_Dept,35,CT8006 RH2019*011,"200,000.00",12/2/2021,12/6/2021,12/2/2021,"19,500.00",12/2/2021,12/3/2021,12/3/2021,12/3/2021,Complete,4
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,128,3,Other_Dept,36,CT8006 RH2019*011,"200,000.00",12/2/2021,12/6/2021,12/2/2021,"10,000.00",12/2/2021,12/3/2021,12/3/2021,12/3/2021,Complete,4
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,128,3,Other_Dept,37,CT8006 RH2019*011,"200,000.00",12/2/2021,12/6/2021,12/2/2021,"20,600.00",12/2/2021,12/3/2021,12/3/2021,12/3/2021,Complete,4
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,128,3,Other_Dept,38,CT8006 RH2019*011,"200,000.00",12/3/2021,12/7/2021,12/3/2021,"17,500.00",12/6/2021,12/6/2021,12/7/2021,12/7/2021,Complete,4
Lead Hazard Reduction Demonstration - Healthy Homes,HH,OLHCHH-Healthy Homes,129,3,Other_Dept,32,CT8006 RH2019*012,"40,000.00",12/2/2021,12/6/2021,12/2/2021,"2,000.00",12/2/2021,12/3/2021,12/3/2021,12/3/2021,Complete,4
Lead Hazard Reduction Demonstration - Healthy Homes,HH,OLHCHH-Healthy Homes,129,3,Other_Dept,33,CT8006 RH2019*012,"40,000.00",12/2/2021,12/6/2021,12/2/2021,"1,500.00",12/2/2021,12/3/2021,12/3/2021,12/3/2021,Complete,4
Lead Hazard Reduction Demonstration 2017,LHRD,OLHCHH-Lead,140,3,Other_Dept,18,PS2019*0290,"125,000.00",12/2/2021,12/6/2021,12/2/2021,"4,750.00",12/2/2021,12/3/2021,12/3/2021,12/3/2021,Complete,4
Lead Hazard Reduction Demonstration - High Impact Grant,LHRD,OLHCHH-Lead,167,3,Other_Dept,1,CT8006 SG2020*111,"250,000.00",10/1/2021,10/5/2021,10/1/2021,"10,250.00",10/1/2021,10/4/2021,10/4/2021,10/5/2021,Complete,4
Lead Hazard Reduction Demonstration - High Impact Grant,LHRD,OLHCHH-Lead,167,3,Other_Dept,2,CT8006 SG2020*111,"250,000.00",10/1/2021,10/5/2021,10/1/2021,900.00,10/1/2021,10/4/2021,10/4/2021,10/5/2021,Complete,4
Lead Hazard Reduction Demonstration - High Impact Grant - Healthy Homes,HH,OLHCHH-Healthy Homes,168,3,Other_Dept,1,CT8006 SG2020*109,"75,000.00",10/1/2021,10/5/2021,10/1/2021,"3,800.00",10/1/2021,10/4/2021,10/4/2021,10/5/2021,Complete,4
Furnace and Hot Water Tank Replacement Program,Furnace replacement,CDBG-Rehab,178,3,Other_Dept,10,RH2020-075,"270,000.00",11/15/2021,11/19/2021,11/15/2021,"16,390.00",11/15/2021,11/17/2021,11/17/2021,11/18/2021,Complete,4
Lead Hazard Reduction Demonstration - High Impact Grant,LHRD,OLHCHH-Lead,182,3,Other_Dept,1,CT8006 SG2021*081,"320,000.00",10/1/2021,10/5/2021,10/1/2021,"2,391.68",10/1/2021,10/4/2021,10/4/2021,10/5/2021,Complete,4
Youth Recreation Program - Collinwood,Social Service,CDBG_DEPT,5501,1,CCR,11,SG2021-007,"16,300.00",9/20/2021,9/24/2021,9/22/2021,0.00,9/22/2021,9/23/2021,9/23/2021,9/24/2021,Complete,4
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,115,3,Other_Dept,16,CT8006 RH2019*006,"250,000.00",2/13/2020,2/18/2020,2/13/2020,"10,120.00",2/13/2020,2/13/2020,2/13/2020,2/14/2020,Complete,5
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,LHRD,OLHCHH-Healthy Homes,116,3,Other_Dept,13,CT8006 RH2019*005,"75,000.00",2/13/2020,2/18/2020,2/13/2020,"5,300.00",2/13/2020,2/13/2020,2/13/2020,2/14/2020,Complete,5
LEAD HAZARD REDUCTION DEMONSTRATION,LHRD,OLHCHH-Lead,119,3,Other_Dept,29,CT8006 RH2019*004,"200,000.00",11/18/2021,11/23/2021,11/18/2021,"8,580.00",11/18/2021,11/19/2021,11/19/2021,11/22/2021,Complete,5
LEAD HAZARD REDUCTION DEMONSTRATION,LHRD,OLHCHH-Lead,119,3,Other_Dept,30,CT8006 RH2019*004,"200,000.00",11/18/2021,11/23/2021,11/18/2021,"8,617.00",11/18/2021,11/19/2021,11/19/2021,11/22/2021,Complete,5
LEAD HAZARD REDUCTION DEMONSTRATION,LHRD,OLHCHH-Lead,119,3,Other_Dept,31,CT8006 RH2019*004,"200,000.00",11/18/2021,11/23/2021,11/18/2021,"4,440.00",11/18/2021,11/19/2021,11/19/2021,11/22/2021,Complete,5
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,128,3,Other_Dept,27,CT8006 RH2019*011,"200,000.00",9/9/2021,9/14/2021,9/9/2021,"21,400.00",9/9/2021,9/9/2021,9/10/2021,9/10/2021,Complete,5
Lead Hazard Reduction Demonstration 2017,LHRD,OLHCHH-Lead,140,3,Other_Dept,17,PS2019*0290,"125,000.00",9/9/2021,9/14/2021,9/9/2021,"1,835.00",9/9/2021,9/9/2021,9/10/2021,9/10/2021,Complete,5
RAH Rosemary Mays,RAH,HOME,157,3,Other_Dept,1,LA2020*159,"25,316.00",6/3/2021,6/8/2021,6/3/2021,"21,755.00",6/3/2021,6/3/2021,6/4/2021,6/8/2021,Complete,5
Cares Act -  Food Delivery Program,CARESAct,CARESAct,5584,1,CCR,4,SG2020-074,"45,000.00",11/19/2020,11/24/2020,11/19/2020,"1,592.54",11/20/2020,11/20/2020,11/23/2020,11/23/2020,Complete,5
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,115,3,Other_Dept,47,CT8006 RH2019*006,"250,000.00",6/10/2021,6/16/2021,6/10/2021,"7,920.00",6/10/2021,6/11/2021,6/11/2021,6/14/2021,Complete,6
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,115,3,Other_Dept,48,CT8006 RH2019*006,"250,000.00",6/10/2021,6/16/2021,6/10/2021,"29,145.00",6/10/2021,6/11/2021,6/11/2021,6/14/2021,Complete,6
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,115,3,Other_Dept,49,CT8006 RH2019*006,"250,000.00",6/10/2021,6/16/2021,6/10/2021,"7,330.00",6/10/2021,6/11/2021,6/11/2021,6/14/2021,Complete,6
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,115,3,Other_Dept,50,CT8006 RH2019*006,"250,000.00",6/10/2021,6/16/2021,6/10/2021,"17,570.00",6/10/2021,6/11/2021,6/11/2021,6/14/2021,Complete,6
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,115,3,Other_Dept,51,CT8006 RH2019*006,"250,000.00",6/10/2021,6/16/2021,6/10/2021,"3,550.00",6/10/2021,6/11/2021,6/11/2021,6/14/2021,Complete,6
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,115,3,Other_Dept,52,CT8006 RH2019*006,"250,000.00",6/17/2021,6/23/2021,6/17/2021,"31,360.00",6/17/2021,6/17/2021,6/18/2021,6/21/2021,Complete,6
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,LHRD,OLHCHH-Healthy Homes,116,3,Other_Dept,43,CT8006 RH2019*005,"60,000.00",6/10/2021,6/16/2021,6/10/2021,"1,500.00",6/10/2021,6/11/2021,6/11/2021,6/14/2021,Complete,6
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,LHRD,OLHCHH-Healthy Homes,116,3,Other_Dept,44,CT8006 RH2019*005,"60,000.00",6/10/2021,6/16/2021,6/10/2021,"2,200.00",6/10/2021,6/11/2021,6/11/2021,6/14/2021,Complete,6
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,LHRD,OLHCHH-Healthy Homes,116,3,Other_Dept,45,CT8006 RH2019*005,"60,000.00",6/10/2021,6/16/2021,6/10/2021,"2,500.00",6/10/2021,6/11/2021,6/11/2021,6/14/2021,Complete,6
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,LHRD,OLHCHH-Healthy Homes,116,3,Other_Dept,46,CT8006 RH2019*005,"60,000.00",6/10/2021,6/16/2021,6/10/2021,"1,000.00",6/10/2021,6/11/2021,6/11/2021,6/14/2021,Complete,6
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,LHRD,OLHCHH-Healthy Homes,116,3,Other_Dept,47,CT8006 RH2019*005,"60,000.00",6/10/2021,6/16/2021,6/10/2021,550.00,6/10/2021,6/11/2021,6/11/2021,6/14/2021,Complete,6
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,LHRD,OLHCHH-Healthy Homes,116,3,Other_Dept,48,CT8006 RH2019*005,"60,000.00",6/17/2021,6/23/2021,6/17/2021,"3,625.00",6/17/2021,6/17/2021,6/18/2021,6/21/2021,Complete,6
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,LHRD,OLHCHH-Healthy Homes,116,3,Other_Dept,52,CT8006 RH2019*005,"60,000.00",8/25/2021,8/31/2021,8/25/2021,"2,135.00",8/25/2021,8/26/2021,8/26/2021,8/27/2021,Complete,6
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,LHRD,OLHCHH-Healthy Homes,117,3,Other_Dept,7,CT8006RH2019*008,"50,000.00",2/12/2020,2/18/2020,2/12/2020,"3,300.00",2/12/2020,2/13/2020,2/13/2020,2/14/2020,Complete,6
LEAD HAZARD REDUCTION DEMONSTRATION,LHRD,OLHCHH-Lead,118,3,Other_Dept,8,CT8006RH2019*007,"200,000.00",2/12/2020,2/18/2020,2/12/2020,"29,040.00",2/12/2020,2/13/2020,2/13/2020,2/14/2020,Complete,6
LEAD HAZARD REDUCTION DEMONSTRATION,LHRD,OLHCHH-Lead,119,3,Other_Dept,20,CT8006 RH2019*004,"200,000.00",12/1/2020,12/7/2020,12/1/2020,"21,057.00",12/1/2020,12/2/2020,12/3/2020,12/4/2020,Complete,6
LEAD HAZARD REDUCTION DEMONSTRATION,LHRD,OLHCHH-Lead,119,3,Other_Dept,21,CT8006 RH2019*004,"200,000.00",12/1/2020,12/7/2020,12/1/2020,"11,705.00",12/1/2020,12/2/2020,12/3/2020,12/4/2020,Complete,6
LEAD HAZARD REDUCTION DEMONSTRATION,LHRD,OLHCHH-Lead,119,3,Other_Dept,25,CT8006 RH2019*004,"200,000.00",8/25/2021,8/31/2021,8/25/2021,"20,291.00",8/25/2021,8/26/2021,8/26/2021,8/27/2021,Complete,6
LEAD HAZARD REDUCTION DEMONSTRATION,LHRD,OLHCHH-Lead,119,3,Other_Dept,26,CT8006 RH2019*004,"200,000.00",8/27/2021,9/2/2021,8/27/2021,"13,348.00",8/27/2021,8/30/2021,8/30/2021,8/31/2021,Complete,6
LEAD HAZARD REDUCTION DEMONSTRATION,LHRD,OLHCHH-Lead,119,3,Other_Dept,28,CT8006 RH2019*004,"200,000.00",10/15/2021,10/21/2021,10/15/2021,"23,326.00",10/18/2021,10/18/2021,10/18/2021,10/19/2021,Complete,6
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,HH,OLHCHH-Healthy Homes,120,3,Other_Dept,16,CT8006 RH2019*003,"50,000.00",12/1/2020,12/7/2020,12/1/2020,"4,205.00",12/1/2020,12/2/2020,12/3/2020,12/4/2020,Complete,6
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,HH,OLHCHH-Healthy Homes,120,3,Other_Dept,17,CT8006 RH2019*003,"50,000.00",12/1/2020,12/7/2020,12/1/2020,"2,242.00",12/1/2020,12/2/2020,12/3/2020,12/4/2020,Complete,6
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,HH,OLHCHH-Healthy Homes,120,3,Other_Dept,18,CT8006 RH2019*003,"50,000.00",12/1/2020,12/7/2020,12/1/2020,"3,500.00",12/1/2020,12/2/2020,12/3/2020,12/4/2020,Complete,6
LEAD HAZARD REDUCTION DEMONSTRATION - HEALTHY HOMES,HH,OLHCHH-Healthy Homes,120,3,Other_Dept,24,CT8006 RH2019*003,"50,000.00",10/21/2021,10/27/2021,10/21/2021,"8,747.00",10/21/2021,10/25/2021,10/25/2021,10/25/2021,Complete,6
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,128,3,Other_Dept,26,CT8006 RH2019*011,"200,000.00",9/8/2021,9/14/2021,9/8/2021,"14,550.00",9/8/2021,9/9/2021,9/10/2021,9/10/2021,Complete,6
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,128,3,Other_Dept,32,CT8006 RH2019*011,"200,000.00",10/21/2021,10/27/2021,10/21/2021,"10,750.00",10/21/2021,10/25/2021,10/25/2021,10/25/2021,Complete,6
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,128,3,Other_Dept,33,CT8006 RH2019*011,"200,000.00",10/21/2021,10/27/2021,10/21/2021,"7,950.00",10/21/2021,10/25/2021,10/25/2021,10/25/2021,Complete,6
Lead Hazard Reduction Demonstration,LHRD,OLHCHH-Lead,128,3,Other_Dept,34,CT8006 RH2019*011,"200,000.00",11/4/2021,11/10/2021,11/4/2021,"7,900.00",11/4/2021,11/4/2021,11/8/2021,11/8/2021,Complete,6
Lead Hazard Reduction Demonstration - Healthy Homes,HH,OLHCHH-Healthy Homes,129,3,Other_Dept,25,CT8006 RH2019*012,"40,000.00",9/8/2021,9/14/2021,9/8/2021,"2,100.00",9/8/2021,9/9/2021,9/10/2021,9/10/2021,Complete,6
Lead Hazard Reduction Demonstration - Healthy Homes,HH,OLHCHH-Healthy Homes,129,3,Other_Dept,26,CT8006 RH2019*012,"40,000.00",9/8/2021,9/14/2021,9/8/2021,"2,000.00",9/8/2021,9/9/2021,9/10/2021,9/10/2021,Complete,6
Lead Hazard Reduction Demonstration - Healthy Homes,HH,OLHCHH-Healthy Homes,129,3,Other_Dept,27,CT8006 RH2019*012,"40,000.00",9/8/2021,9/14/2021,9/8/2021,"1,900.00",9/8/2021,9/9/2021,9/10/2021,9/10/2021,Complete,6
Lead Hazard Reduction Demonstration - Healthy Homes,HH,OLHCHH-Healthy Homes,129,3,Other_Dept,28,CT8006 RH2019*012,"40,000.00",9/8/2021,9/14/2021,9/8/2021,800.00,9/8/2021,9/9/2021,9/10/2021,9/10/2021,Complete,6
Lead Hazard Reduction Demonstration - Healthy Homes,HH,OLHCHH-Healthy Homes,129,3,Other_Dept,29,CT8006 RH2019*012,"40,000.00",10/21/2021,10/27/2021,10/21/2021,"2,400.00",10/21/2021,10/25/2021,10/25/2021,10/25/2021,Complete,6
